Sample;groupe.x;study.day.x;Abundance.x;OTU;sample;collection;groupe.y;phase;stald;hold;sti;study.day.y;Lysis
S3.20;3;1;25;sp17;S3.20;31.03.2022;3;1;13;3;73;1;FP
S1.386;1;54;24;sp17;S1.386;04.07.2022;1;3;11;34;48;54;FP
S3.98;3;29;24;sp17;S3.98;05.05.2022;3;3;14;11;98;29;FP
S1.281;1;1;23;sp17;S1.281;28.04.2022;1;1;9;25;19;1;FP
S1.346;1;29;23;sp17;S1.346;25.05.2022;1;3;9;25;19;29;FP
S1.374;1;54;23;sp17;S1.374;13.06.2022;1;3;8;22;12;54;FP
S3.101;3;29;22;sp17;S3.101;28.04.2022;3;3;13;1;69;29;FP
S3.7;3;1;22;sp17;S3.7;28.04.2022;3;1;9;25;21;1;FP
S3.99;3;29;21;sp17;S3.99;05.05.2022;3;3;14;10;95;29;FP
S2.233;2;29;21;sp17;S2.233;09.06.2022;2;3;11;33;43;29;FP
S1.336;1;8;20;sp17;S1.336;07.04.2022;1;1;13;3;74;8;FP
S3.22;3;1;20;sp17;S3.22;31.03.2022;3;1;13;5;79;1;FP
S2.248;2;54;19;sp17;S2.248;27.06.2022;2;3;10;29;31;54;FP
S1.359;1;29;19;sp17;S1.359;28.04.2022;1;3;13;4;76;29;FP
S1.341;1;29;19;sp17;S1.341;19.05.2022;1;3;8;20;4;29;FP
S1.387;1;54;18;sp17;S1.387;04.07.2022;1;3;11;33;45;54;FP
S1.383;1;54;18;sp17;S1.383;23.05.2022;1;3;13;2;70;54;FP
S3.14;3;1;17;sp17;S3.14;12.05.2022;3;1;11;32;41;1;FP
S3.84;3;29;17;sp17;S3.84;19.05.2022;3;3;8;22;10;29;FP
S2.225;2;29;17;sp17;S2.225;25.05.2022;2;3;9;25;20;29;FP
S3.85;3;29;16;sp17;S3.85;25.05.2022;3;3;9;23;15;29;FP
S1.353;1;29;16;sp17;S1.353;09.06.2022;1;3;11;32;42;29;FP
S3.81;3;29;16;sp17;S3.81;19.05.2022;3;3;8;19;1;29;FP
S2.159;2;1;15;sp17;S2.159;07.04.2022;2;1;14;7;85;1;FP
S1.389;1;54;15;sp17;S1.389;30.05.2022;1;3;14;11;97;54;FP
S3.119;3;54;14;sp17;S3.119;23.05.2022;3;3;13;1;69;54;FP
S1.347;1;29;14;sp17;S1.347;25.05.2022;1;3;9;26;22;29;FP
S1.368;1;54;14;sp17;S1.368;27.06.2022;1;3;10;28;29;54;FP
S3.96;3;29;14;sp17;S3.96;09.06.2022;3;3;11;34;46;29;FP
S3.100;3;29;13;sp17;S3.100;05.05.2022;3;3;14;9;92;29;FP
S2.251;2;54;13;sp17;S2.251;20.06.2022;2;3;9;26;24;54;FP
S2.240;2;29;13;sp17;S2.240;28.04.2022;2;3;13;4;77;29;FP
S1.355;1;29;12;sp17;S1.355;09.06.2022;1;3;11;34;48;29;FP
S2.246;2;29;11;sp17;S2.246;05.05.2022;2;3;14;8;90;29;FP
S2.222;2;29;11;sp17;S2.222;19.05.2022;2;3;8;22;11;29;FP
S2.264;2;54;11;sp17;S2.264;04.07.2022;2;3;11;33;43;54;FP
S3.97;3;29;11;sp17;S3.97;05.05.2022;3;3;14;12;102;29;FP
S3.124;3;54;10;sp17;S3.124;04.07.2022;3;3;11;31;38;54;FP
S1.340;1;29;10;sp17;S1.340;19.05.2022;1;3;8;19;3;29;FP
S3.93;3;29;10;sp17;S3.93;09.06.2022;3;3;11;31;38;29;FP
S2.217;2;15;10;sp17;S2.217;21.04.2022;2;2;14;7;85;15;FP
S3.91;3;29;10;sp17;S3.91;02.06.2022;3;3;10;29;33;29;FP
S3.110;3;54;10;sp17;S3.110;30.05.2022;3;3;14;10;95;54;FP
S2.265;2;54;10;sp17;S2.265;04.07.2022;2;3;11;32;40;54;FP
S2.227;2;29;10;sp17;S2.227;02.06.2022;2;3;10;27;27;29;FP
S1.356;1;29;9;sp17;S1.356;28.04.2022;1;3;13;1;68;29;FP
S1.379;1;54;9;sp17;S1.379;23.05.2022;1;3;13;6;84;54;FP
S1.364;1;29;9;sp17;S1.364;05.05.2022;1;3;14;11;97;29;FP
S1.376;1;54;9;sp17;S1.376;13.06.2022;1;3;8;20;4;54;FP
S3.83;3;29;9;sp17;S3.83;19.05.2022;3;3;8;21;8;29;FP
S2.271;2;54;9;sp17;S2.271;30.05.2022;2;3;14;7;85;54;FP
S2.221;2;29;9;sp17;S2.221;19.05.2022;2;3;8;21;9;29;FP
S3.135;3;54;8;sp17;S3.135;13.06.2022;3;3;8;20;6;54;FP
S2.223;2;29;8;sp17;S2.223;25.05.2022;2;3;9;23;13;29;FP
S1.342;1;29;8;sp17;S1.342;19.05.2022;1;3;8;21;7;29;FP
S1.390;1;54;8;sp17;S1.390;30.05.2022;1;3;14;10;96;54;FP
S3.113;3;54;8;sp17;S3.113;30.05.2022;3;3;14;7;86;54;FP
S1.388;1;54;7;sp17;S1.388;04.07.2022;1;3;11;32;42;54;FP
S2.273;2;54;7;sp17;S2.273;23.05.2022;2;3;13;5;81;54;FP
S2.266;2;54;7;sp17;S2.266;04.07.2022;2;3;11;31;37;54;FP
S2.239;2;29;7;sp17;S2.239;05.05.2022;2;3;14;7;85;29;FP
S1.382;1;54;7;sp17;S1.382;23.05.2022;1;3;13;3;74;54;FP
S1.361;1;29;6;sp17;S1.361;05.05.2022;1;3;14;9;91;29;FP
S3.126;3;54;6;sp17;S3.126;27.06.2022;3;3;10;29;33;54;FP
S3.117;3;54;6;sp17;S3.117;23.05.2022;3;3;13;3;73;54;FP
S1.299;1;1;6;sp17;S1.299;07.04.2022;1;1;14;9;91;1;FP
S3.105;3;29;5;sp17;S3.105;28.04.2022;3;3;13;3;73;29;FP
S1.381;1;54;5;sp17;S1.381;23.05.2022;1;3;13;4;76;54;FP
S2.231;2;29;5;sp17;S2.231;09.06.2022;2;3;11;32;37;29;FP
S3.114;3;54;5;sp17;S3.114;23.05.2022;3;3;13;6;83;54;FP
S3.116;3;54;5;sp17;S3.116;23.05.2022;3;3;13;4;78;54;FP
S2.224;2;29;4;sp17;S2.224;25.05.2022;2;3;9;24;16;29;FP
